				PC	EBP	ESP	stack
5	STO	0	4	6	22	26	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
6	LOD	1	4	7	22	27	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 2 
7	LIT	0	1	8	22	28	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 2 1 
8	OPR	0	3	9	22	27	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 
9	STO	1	4	10	22	26	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
10	LOD	1	4	11	22	27	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 
11	LIT	0	0	12	22	28	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 0 
12	OPR	0	10	13	22	27	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 0 
13	JPC	0	18	18	22	26	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
18	LOD	1	4	19	22	27	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 
19	LIT	0	0	20	22	28	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 1 0 
20	OPR	0	8	21	22	27	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 0 
21	JPC	0	25	25	22	26	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
25	CAL	1	2	2	27	26	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 
2	INC	0	5	3	27	31	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 0 
3	JMP	0	4	4	27	31	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 0 
4	LOD	1	4	5	27	32	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 0 1 
5	STO	0	4	6	27	31	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
6	LOD	1	4	7	27	32	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 
7	LIT	0	1	8	27	33	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 1 1 
8	OPR	0	3	9	27	32	0 0 0 0 1 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 0 
9	STO	1	4	10	27	31	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
10	LOD	1	4	11	27	32	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 0 
11	LIT	0	0	12	27	33	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 0 0 
12	OPR	0	10	13	27	32	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 0 
13	JPC	0	18	18	27	31	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 
18	LOD	1	4	19	27	32	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 0 
19	LIT	0	0	20	27	33	0 0 0 0 0 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 | 0 1 17 26 2 | 0 1 22 26 1 0 0 
